reaction	enzyme	gene
L-homocysteine + ATP + H+  ->  (L-homocysteinyl)adenylate + diphosphate	tRNA ligase	valS
N1-(5-phospho-beta-D-ribosyl)glycinamide + formate + ATP  ->  N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + ADP + phosphate + H+	phosphoribosylglycinamide formyltransferase 2	purT
dodecanoate + coenzyme A + ATP  ->  dodecanoyl-CoA + AMP + diphosphate	medium-chain-fatty-acid&mdash	
dodecanoate + coenzyme A + ATP  ->  dodecanoyl-CoA + AMP + diphosphate	CoA ligase	
formate + ATP + H+  ->  CO2 + dATP + H2O	anaerobic ribonucleoside-triphosphate reductase	nrdD
a [protein] C-terminal L-glutamate + L-glutamate + ATP  ->  a [protein] C-terminal alpha-L-glutamate-alpha-L-glutamate + ADP + phosphate + H+	ribosomal protein S6 modification protein	rimK
L-arginine + ATP + H+  ->  (L-arginyl)adenylate + diphosphate	arginine&mdash	argS
L-arginine + ATP + H+  ->  (L-arginyl)adenylate + diphosphate	tRNA ligase	argS
nicotinate + 5-phospho-alpha-D-ribose 1-diphosphate + ATP + H2O  ->  beta-nicotinate D-ribonucleotide + ADP + diphosphate + phosphate	nicotinate phosphoribosyltransferase	pncB
adenosyl-cobinamide phosphate + GTP + H+  ->  adenosylcobinamide-GDP + diphosphate	cobinamide-P guanylyltransferase	cobU
adenosyl-cobinamide phosphate + GTP + H+  ->  adenosylcobinamide-GDP + diphosphate	cobinamide kinase	cobU
acetate + ATP  <-->  acetyl phosphate + ADP	phosphoribosylglycinamide formyltransferase 2	ackA
acetate + ATP  <-->  acetyl phosphate + ADP	acetate kinase	ackA
acetate + ATP  <-->  acetyl phosphate + ADP	phosphoribosylglycinamide formyltransferase 2	purT
acetate + ATP  <-->  acetyl phosphate + ADP	acetate kinase	purT
D-tyrosine + ATP + H+  ->  (D-tyrosyl)adenylate + diphosphate	tyrosine&mdash	tyrS
D-tyrosine + ATP + H+  ->  (D-tyrosyl)adenylate + diphosphate	tRNA ligase	tyrS
ATP + GDP  ->  AMP + ppGpp + H+	GDP	spoT
ATP + GDP  ->  AMP + ppGpp + H+	GTP pyrophosphokinase	spoT
ATP + GDP  ->  AMP + ppGpp + H+	bifunctional (p)ppGpp synthase	spoT
ATP + GDP  ->  AMP + ppGpp + H+	hydrolase SpoT	spoT
ATP + GDP  ->  AMP + ppGpp + H+	GDP	relA
ATP + GDP  ->  AMP + ppGpp + H+	GTP pyrophosphokinase	relA
ATP + GDP  ->  AMP + ppGpp + H+	bifunctional (p)ppGpp synthase	relA
ATP + GDP  ->  AMP + ppGpp + H+	hydrolase SpoT	relA
guanosine + ATP  ->  GMP + ADP + H+	inosine	gsk
guanosine + ATP  ->  GMP + ADP + H+	guanosine kinase	gsk
selenide + ATP + H2O  ->  selenophosphate + AMP + phosphate	selenide	selD
selenide + ATP + H2O  ->  selenophosphate + AMP + phosphate	water dikinase	selD
ATP + a [protein]-L-histidine  ->  a [protein]-Npi-phospho-L-histidine + ADP + H+	sensor histidine kinase CusS	cusS
a cytidine34 in tRNAIle2 + L-lysine + ATP  ->  a lysidine34 in tRNAIle2 + AMP + diphosphate + 2 H+	tRNAIle-lysidine synthetase	tilS
GTP + MoO2(OH)-molybdopterin cofactor + H+  ->  guanylyl molybdenum cofactor + diphosphate	molybdenum cofactor guanylyltransferase	mobA
cytidine + GTP  ->  CMP + GDP + H+	uridine	udk
cytidine + GTP  ->  CMP + GDP + H+	cytidine kinase	udk
a medium-chain 2,3,4-saturated fatty acid + coenzyme A + ATP  ->  a medium-chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	medium-chain-fatty-acid&mdash	fadK
a medium-chain 2,3,4-saturated fatty acid + coenzyme A + ATP  ->  a medium-chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	CoA ligase	fadK
inosine + ATP  ->  IMP + ADP + H+	inosine	gsk
inosine + ATP  ->  IMP + ADP + H+	guanosine kinase	gsk
coenzyme A + phenylacetate + ATP  ->  phenylacetyl-CoA + AMP + diphosphate	phenylacetate-CoA ligase	paaK
ATP + molybdopterin + H+  ->  adenylyl-molybdopterin + diphosphate	molybdopterin adenylyltransferase	mogA
[IscU iron-sulfur cluster scaffold protein carrying a [2Fe-2S]+2 cluster] + apo-iron-sulfur protein + ATP + H2O  ->  [IscU iron-sulfur cluster scaffold protein] + holo-[2Fe-2S] cluster protein + ADP + phosphate	[Fe-S] cluster biosynthesis chaperone	hscB
[IscU iron-sulfur cluster scaffold protein carrying a [2Fe-2S]+2 cluster] + apo-iron-sulfur protein + ATP + H2O  ->  [IscU iron-sulfur cluster scaffold protein] + holo-[2Fe-2S] cluster protein + ADP + phosphate	co-chaperone system	hscB
[IscU iron-sulfur cluster scaffold protein carrying a [2Fe-2S]+2 cluster] + apo-iron-sulfur protein + ATP + H2O  ->  [IscU iron-sulfur cluster scaffold protein] + holo-[2Fe-2S] cluster protein + ADP + phosphate	[Fe-S] cluster biosynthesis chaperone	hscA
[IscU iron-sulfur cluster scaffold protein carrying a [2Fe-2S]+2 cluster] + apo-iron-sulfur protein + ATP + H2O  ->  [IscU iron-sulfur cluster scaffold protein] + holo-[2Fe-2S] cluster protein + ADP + phosphate	co-chaperone system	hscA
8-oxo-GTP + H2O  ->  8-oxo-GMP + diphosphate + H+	8-oxo-dGTP diphosphatase	mutT
alpha-D-galactopyranose + ATP  ->  alpha-D-galactose 1-phosphate + ADP + H+	galactokinase	galK
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	proline&mdash	cysS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	tRNA ligase	cysS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	cysteine&mdash	cysS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	tRNA ligase	cysS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	proline&mdash	proS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	tRNA ligase	proS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	cysteine&mdash	proS
L-cysteine + ATP + H+  ->  (L-cysteinyl)adenylate + diphosphate	tRNA ligase	proS
L-aspartate + ammonium + ATP  ->  L-asparagine + AMP + diphosphate + H+	asparagine synthetase B	asnA
L-aspartate + ammonium + ATP  ->  L-asparagine + AMP + diphosphate + H+	asparagine synthetase A	asnA
L-aspartate + ammonium + ATP  ->  L-asparagine + AMP + diphosphate + H+	asparagine synthetase B	asnB
L-aspartate + ammonium + ATP  ->  L-asparagine + AMP + diphosphate + H+	asparagine synthetase A	asnB
dGDP + ATP  ->  dGTP + ADP	adenylate kinase	ndk
dGDP + ATP  ->  dGTP + ADP	nucleoside diphosphate kinase	ndk
dGDP + ATP  ->  dGTP + ADP	adenylate kinase	adk
dGDP + ATP  ->  dGTP + ADP	nucleoside diphosphate kinase	adk
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	UDP-<i>N<	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	i>-acetylmuramate&mdash	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	L-alanyl-&gamma	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	-D-glutamyl-<i>meso<	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	i>-2	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-diaminopimelate + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP + ADP + phosphate + H+	6-diaminoheptanedioate ligase	mpl
pyruvate + ATP  <-  ADP + phosphoenolpyruvate + H+	pyruvate kinase 1	pykA
pyruvate + ATP  <-  ADP + phosphoenolpyruvate + H+	pyruvate kinase 2	pykA
pyruvate + ATP  <-  ADP + phosphoenolpyruvate + H+	pyruvate kinase 1	pykF
pyruvate + ATP  <-  ADP + phosphoenolpyruvate + H+	pyruvate kinase 2	pykF
ATP + 5-(2-hydroxyethyl)-4-methylthiazole  ->  ADP + 4-methyl-5-(2-phosphooxyethyl)thiazole + H+	hydroxyethylthiazole kinase	thiM
L-threonine + hydrogen carbonate + ATP  <-->  (L-threonylcarbamoyl)adenylate + diphosphate + H2O	L-threonylcarbamoyladenylate synthase	tsaC
ATP + dCMP  ->  ADP + dCDP	cytidylate kinase	cmk
L-ribulose + ATP  ->  L-ribulose 5-phosphate + ADP + H+	ribulokinase	araB
tRNAsec + L-serine + ATP  ->  L-seryl-[tRNAsec] + AMP + diphosphate	serine&mdash	serS
tRNAsec + L-serine + ATP  ->  L-seryl-[tRNAsec] + AMP + diphosphate	tRNA ligase	serS
pantetheine + ATP  ->  ADP + 4'-phosphopantetheine + H+	pantothenate kinase	coaA
ATP + L-methionine + H2O  ->  S-adenosyl-L-methionine + phosphate + diphosphate	methionine adenosyltransferase	metK
tRNAPhe + L-phenylalanine + ATP  ->  L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	phenylalanine&mdash	pheT
tRNAPhe + L-phenylalanine + ATP  ->  L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	tRNA ligase	pheT
tRNAPhe + L-phenylalanine + ATP  ->  L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	phenylalanine&mdash	pheS
tRNAPhe + L-phenylalanine + ATP  ->  L-phenylalanyl-[tRNAPhe] + AMP + diphosphate	tRNA ligase	pheS
tRNAThr + L-threonine + ATP  ->  L-threonyl-[tRNAThr] + AMP + diphosphate	threonine&mdash	thrS
tRNAThr + L-threonine + ATP  ->  L-threonyl-[tRNAThr] + AMP + diphosphate	tRNA ligase	thrS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	valine&mdash	thrS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	tRNA ligase	thrS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	threonine&mdash	thrS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	tRNA ligase	thrS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	valine&mdash	valS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	tRNA ligase	valS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	threonine&mdash	valS
L-threonine + ATP + H+  ->  (L-threonyl)adenylate + diphosphate	tRNA ligase	valS
4-hydroxy-L-threonine + ATP  ->  4-phosphooxy-L-threonine + ADP + H+	homoserine kinase	thrB
a [protein]-(L-serine/L-threonine) + ATP  ->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+	protein kinase YeaG	srkA
a [protein]-(L-serine/L-threonine) + ATP  ->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+	stress response kinase A	srkA
a [protein]-(L-serine/L-threonine) + ATP  ->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+	protein kinase YeaG	yeaG
a [protein]-(L-serine/L-threonine) + ATP  ->  a [protein] (L-serine/L-threonine) phosphate + ADP + H+	stress response kinase A	yeaG
oleate + coenzyme A + ATP  ->  oleoyl-CoA + AMP + diphosphate	long-chain-fatty-acid&mdash	
oleate + coenzyme A + ATP  ->  oleoyl-CoA + AMP + diphosphate	CoA ligase	
glycine + ATP  =  (glycyl)adenylate + diphosphate	alanine&mdash	alaS
glycine + ATP  =  (glycyl)adenylate + diphosphate	tRNA ligase	alaS
glycine + ATP  =  (glycyl)adenylate + diphosphate	DNA-binding transcriptional repressor	alaS
D-ribofuranose + ATP  ->  D-ribofuranose 5-phosphate + ADP + H+	ribokinase	rbsK
a long-chain 2,3,4-saturated fatty acid + coenzyme A + ATP  ->  a long-chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	long-chain-fatty-acid&mdash	fadD
a long-chain 2,3,4-saturated fatty acid + coenzyme A + ATP  ->  a long-chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	CoA ligase	fadD
a [lipoyl-carrier protein]-L-lysine + octanoate + ATP  ->  a [lipoyl-carrier protein] N6-octanoyl-L-lysine + AMP + diphosphate + H+	lipoate&mdash	lplA
a [lipoyl-carrier protein]-L-lysine + octanoate + ATP  ->  a [lipoyl-carrier protein] N6-octanoyl-L-lysine + AMP + diphosphate + H+	protein ligase A	lplA
D-xylulose + ATP  ->  D-xylulose 5-phosphate + ADP + H+	xylulokinase	xylB
D-sedoheptulose 7-phosphate + ATP  ->  D-sedoheptulose 1,7-bisphosphate + ADP + H+	6-phosphofructokinase 1	pfkA
alpha-D-mannose 1-phosphate + GTP + H+  ->  GDP-alpha-D-mannose + diphosphate	mannose-1-phosphate guanylyltransferase	cpsB
coenzyme A + acetate + ATP  <-->  acetyl-CoA + AMP + diphosphate	acetyl-CoA synthetase (AMP-forming)	acs
L-leucine + ATP + H+  ->  (L-leucyl)adenylate + diphosphate	leucine&mdash	leuS
L-leucine + ATP + H+  ->  (L-leucyl)adenylate + diphosphate	tRNA ligase	leuS
putrescine + L-glutamate + ATP  ->  gamma-glutamyl-L-putrescine + ADP + phosphate + H+	glutamate-putrescine ligase	puuA
ATP + acetyl-CoA + hydrogen carbonate  ->  ADP + malonyl-CoA + phosphate + H+		
adenosine 5'-phosphosulfate + ATP  ->  3'-phosphoadenylyl-sulfate + ADP + H+	adenylyl-sulfate kinase	cysC
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine&mdash	ddlA
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine ligase B	ddlA
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine&mdash	ddlA
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine ligase A	ddlA
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine&mdash	ddlB
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine ligase B	ddlB
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine&mdash	ddlB
2 D-alanine + ATP  ->  D-alanyl-D-alanine + ADP + phosphate + H+	D-alanine ligase A	ddlB
prenol + ATP  ->  prenyl phosphate + ADP + H+	hydroxyethylthiazole kinase	thiM
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	peptide&mdash	yjfC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	spermidine ligase YgiC	yjfC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	peptide&mdash	yjfC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	spermidine ligase YjfC	yjfC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	peptide&mdash	ygiC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	spermidine ligase YgiC	ygiC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	peptide&mdash	ygiC
spermidine + triglycine + ATP  ->  triglycylspermidine + ADP + phosphate + H+	spermidine ligase YjfC	ygiC
methylene-tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  methylene-tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	bifunctional folylpolyglutamate synthetase	folC
methylene-tetrahydropteroyl-[gamma-Glu](n) + L-glutamate + ATP  ->  methylene-tetrahydropteroyl-[gamma-Glu](n+1) + ADP + phosphate	dihydrofolate synthetase	folC
GTP + 2 hydroxyl radical  ->  8-oxo-GTP + H2O		
lipoate--GcvH protein ligase	lipoate&mdash	lplA
lipoate--GcvH protein ligase	protein ligase A	lplA
beta-alanine + (R)-pantoate + ATP  ->  (R)-pantothenate + AMP + diphosphate + H+	pantothenate synthetase	panC
dATP + H2O  ->  dAMP + diphosphate + H+	dihydroneopterin triphosphate diphosphatase	nudB
dATP + H2O  ->  dAMP + diphosphate + H+	nucleoside triphosphate pyrophosphohydrolase	nudB
L-tryptophan + ATP + H+  ->  (L-tryptophanyl)adenylate + diphosphate	tryptophan&mdash	trpS
L-tryptophan + ATP + H+  ->  (L-tryptophanyl)adenylate + diphosphate	tRNA ligase	trpS
cytidine + ATP  ->  CMP + ADP + H+	uridine	udk
cytidine + ATP  ->  CMP + ADP + H+	cytidine kinase	udk
D-ribose 5-phosphate + ATP  ->  5-phospho-alpha-D-ribose 1-diphosphate + AMP + H+	ribose-phosphate diphosphokinase	prs
beta-nicotinamide D-ribonucleotide + ATP + H+  ->  NAD+ + diphosphate	DNA-binding transcriptional repressor	nadR
beta-nicotinamide D-ribonucleotide + ATP + H+  ->  NAD+ + diphosphate	NMN adenylyltransferase NadR	nadR
octanoate + ATP + H+  ->  (octanoyl)adenylate + diphosphate	lipoate&mdash	lplA
octanoate + ATP + H+  ->  (octanoyl)adenylate + diphosphate	protein ligase A	lplA
ATP + 4-deoxypyridoxine  ->  ADP + 4-deoxypyridoxine 5'-phosphate + H+	pyridoxal kinase 1	pdxK
ATP + 4-deoxypyridoxine  ->  ADP + 4-deoxypyridoxine 5'-phosphate + H+	hydroxymethylpyrimidine kinase	pdxK
3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP	phosphoglycerate kinase	pgk
ATP + 7-amido-7-deazaguanine  ->  2-amino-4-oxo-3H,4H,7H-pyrrolo[2,3-d]pyrimidine-5-carboximidyl-adenylate + diphosphate	7-cyano-7-deazaguanine synthase	queC
a [protein chain elongation factor P]-L-lysine34 + (R)-beta-lysine + ATP  ->  [a protein chain elongation factor EF-P]-N-(beta-L-lysyl)-L-lysine34 + AMP + diphosphate + H+	EF-P-lysine lysyltransferase	epmA
5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + ATP + hydrogen carbonate  ->  N5-carboxyaminoimidazole ribonucleotide + ADP + phosphate + 2 H+	5-(carboxyamino)imidazole ribonucleotide synthase	purK
N-acetyl-L-glutamate + ATP  ->  N-acetylglutamyl-phosphate + ADP	acetylglutamate kinase	argB
(acetamidomethyl)phosphonate + ATP  ->  alpha-D-ribose 1-(acetamidomethylphosphonate) 5-triphosphate + adenine	carbon-phosphorus lyase core complex subunit PhnI	phnI
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	UDP-<i>N<	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	i>-acetylmuramate&mdash	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	L-alanyl-&gamma	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	-D-glutamyl-<i>meso<	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	i>-2	mpl
UDP-N-acetyl-alpha-D-muramate + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine + ATP  ->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala + ADP + phosphate + H+	6-diaminoheptanedioate ligase	mpl
(4S)-4,5-dihydroxypentane-2,3-dione + ATP  ->  (2S)-2-hydroxy-3,4-dioxopentyl phosphate + ADP + H+	autoinducer-2 kinase	lsrK
a phosphatidylglycerol + ATP  ->  a phosphatidylglycerophosphate + ADP + H+	lipid kinase YegS	yegS
D-glucosamine + ATP  ->  D-glucosamine 6-phosphate + ADP + H+	glucokinase	glk
L-ornithine + ATP + H+  ->  (L-ornithyl)adenylate + diphosphate	lysine&mdash	lysU
L-ornithine + ATP + H+  ->  (L-ornithyl)adenylate + diphosphate	tRNA ligase	lysU
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	torS
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PhoR	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ArcB	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase AtoS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BaeS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BarA	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase BasS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	high-affinity pyruvate receptor	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase CreC	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DcuS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase DpiB	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EnvZ	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase RcsC	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase EvgS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	histidine kinase GlrK	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase HprS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	serine histidine kinase KdpD	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase QseC	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	protein histidine kinase NtrB	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase UhpB	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	bifunctional sensor histidine kinase PhoQ	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarQ	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase NarX	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase RstB	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase TorS	rstB
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase ZraS	narX
a [protein]-L-histidine + ATP  ->  a [protein]-N-phospho-L-histidine + ADP + H+	sensor histidine kinase PyrS	narX
