Reaction,EC-Number,Substrates,Products of reaction,Enzymes of a reaction,Genes of a reaction,Pathways of a reaction
(5Z)-dodec-5-enoyl-[acp] + malonyl-[acp] + H+  ->  (7Z)-3-oxotetradec-7-enoyl-[acp] + an acyl-carrier protein + CO2,EC-2.3.1.179 // EC-2.3.1.41,H<SUP>+</SUP> // a malonyl-[acp] // a (5<i>Z</i>)-dodec-5-enoyl-[acp] // a (7<i>Z</i>)-3-oxotetradec-7-enoyl-[acp] // a soluble [acyl-carrier protein] // CO<SUB>2</SUB>,a (7<i>Z</i>)-3-oxotetradec-7-enoyl-[acp] // a soluble [acyl-carrier protein] // CO<SUB>2</SUB>,3-oxoacyl-[acyl carrier protein] synthase 1,fabB,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)
[HypC dimer]-Fe-CO2 + HypD protein  ->  [HypC/HypD dimer]-Fe-CO2 + HypC protein,,a HypD [NiFe]-hydrogenase maturation protein // [HypC dimer]-Fe-CO<sub>2</sub> // a [HypC/HypD dimer]-Fe-CO<sub>2</sub> // a HypC [NiFe]-hydrogenase maturation protein,a [HypC/HypD dimer]-Fe-CO<sub>2</sub> // a HypC [NiFe]-hydrogenase maturation protein,Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD,hypD,NiFe(CO)(CN)<sub>2</sub> cofactor biosynthesis
D-tryptophan + ATP + H+  ->  (D-tryptophanyl)adenylate + diphosphate,,H<SUP>+</SUP> // ATP // D-tryptophan // (D-tryptophanyl)adenylate // diphosphate,(D-tryptophanyl)adenylate // diphosphate,tryptophan&mdash;tRNA ligase,trpS,
"poly-beta-1,6-N-acetyl-D-glucosamine + H2O  ->  a partially deacetylated poly-beta-1,6-N-acetyl-D-glucosamine + acetate",EC-3.5.1,"H<sub>2</sub>O // poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine // a partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine // acetate","a partially deacetylated poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine // acetate","poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase",pgaB,"poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine biosynthesis"
7-carboxy-7-deazaguanine + ammonium + 2 ATP  ->  preQ0 + 2 AMP + 2 diphosphate + 2 H+,EC-6.3.4.20,ATP // ammonium // 7-carboxy-7-deazaguanine // H<SUP>+</SUP> // preQ<sub>0</sub> // AMP // diphosphate,H<SUP>+</SUP> // preQ<sub>0</sub> // AMP // diphosphate,7-cyano-7-deazaguanine synthase,queC,preQ<sub>0</sub> biosynthesis
[reduced DsbB protein] + a quinone  ->  [oxidized DsbB protein] + a quinol,,an electron-transfer quinone // a [reduced DsbB protein] // an [oxidized DsbB protein] // an electron-transfer quinol,an [oxidized DsbB protein] // an electron-transfer quinol,,,periplasmic disulfide bond formation
(S)-1-pyrroline-5-carboxylate + H+ + H2O  <-->  L-glutamate 5-semialdehyde,,(<i>S</i>)-1-pyrroline-5-carboxylate // H<sub>2</sub>O // H<SUP>+</SUP> // L-glutamate 5-semialdehyde,L-glutamate 5-semialdehyde,,,proline degradation // L-proline biosynthesis I (from L-glutamate)
tRNATyr + L-tyrosine + ATP  ->  L-tyrosyl-[tRNATyr] + AMP + diphosphate,EC-6.1.1.1,ATP // L-tyrosine // a tRNA<SUP>Tyr</SUP> // an L-tyrosyl-[tRNA<SUP>Tyr</SUP>] // diphosphate // AMP,an L-tyrosyl-[tRNA<SUP>Tyr</SUP>] // diphosphate // AMP,tyrosine&mdash;tRNA ligase,tyrS,tRNA charging
a [protein]-L-cysteine + an O6-methylguanine in DNA  ->  a [protein]-S-methyl-L-cysteine + a guanine in DNA,EC-2.1.1.63,an <i>O</i><sup>6</sup>-methylguanine in DNA // a [protein]-L-cysteine // a [protein]-<i>S</i>-methyl-L-cysteine // a guanine in DNA,a [protein]-<i>S</i>-methyl-L-cysteine // a guanine in DNA,DNA-binding transcriptional dual regulator / DNA repair protein Ada // methylated-DNA&mdash;[protein]-cysteine <i>S</i>-methyltransferase,ogt // ada,
"2 Fe2+ + 2 N-(2,3-dihydroxybenzoyl)-L-serine trimer + NADP+  <-  2 iron(III)-[N-(2,3-dihydroxybenzoyl)-L-serine trimer] complex + NADPH + 11 H+",EC-1.16.1.9,"NADP<sup>+</sup> // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer // Fe<sup>2+</sup> // iron(III)-[<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer] complex // NADPH // H<SUP>+</SUP>","Fe<sup>2+</sup> // <i>N</i>-(2,3-dihydroxybenzoyl)-L-serine trimer // NADP<sup>+</sup>",NADPH-dependent Fe(3+)-chelate reductase,nfeF,
cis-vaccenoyl-CoA + 1-palmitoyl-sn-glycerol 3-phosphate  ->  1-palmitoyl-2-cis-vaccenoyl phosphatidate + coenzyme A,EC-2.3.1.51,1-palmitoyl-<i>sn</i>-glycerol 3-phosphate // <i>cis</i>-vaccenoyl-CoA // 1-palmitoyl-2-<i>cis</i>-vaccenoyl phosphatidate // coenzyme A,1-palmitoyl-2-<i>cis</i>-vaccenoyl phosphatidate // coenzyme A,1-acylglycerol-3-phosphate <i>O</i>-acyltransferase YihG // 1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC,,
"a uridine34 in tRNA + GTP + a 5,10-methylenetetrahydrofolate + glycine + oxidized electron carrier + H2O  ->  a 5-carboxymethylaminomethyluridine34 in tRNA + GDP + a 7,8-dihydrofolate + reduced two electron carrier + phosphate + H+",,"an oxidized electron carrier // H<sub>2</sub>O // glycine // a 5,10-methylenetetrahydrofolate // GTP // a uridine<sup>34</sup> in tRNA // a 5-carboxymethylaminomethyluridine<sup>34</sup> in tRNA // GDP // phosphate // a 7,8-dihydrofolate // H<SUP>+</SUP> // a reduced two electron carrier","a 5-carboxymethylaminomethyluridine<sup>34</sup> in tRNA // GDP // phosphate // a 7,8-dihydrofolate // H<SUP>+</SUP> // a reduced two electron carrier",5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit // 5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,mnmE // mnmG,
[bis-MGD cofactor chaperone]-bis-MGD + a [bis(guanylyl molybdopterin) cofactor chaperone]-S-sulfanyl-L-cysteine + reduced two electron carrier  ->  a [bis(guanylyl molybdopterin) cofactor chaperone]-L-cysteine + sulfo-bis(guanylyl molybdopterin) cofactor + oxidized electron carrier + H2O,EC-2.8.1,a reduced two electron carrier // a [<i>bis</i>(guanylyl molybdopterin) cofactor chaperone]-<i>S</i>-sulfanyl-L-cysteine // a [<i>bis</i>(guanylyl molybdopterin) cofactor chaperone]-<i>bis</i>(guanylyl molybdopterin) cofactor // a [<i>bis</i>(guanylyl molybdopterin) cofactor chaperone]-L-cysteine // sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor // H<sub>2</sub>O // an oxidized electron carrier,a [<i>bis</i>(guanylyl molybdopterin) cofactor chaperone]-L-cysteine // sulfo-<i>bis</i>(guanylyl molybdopterin) cofactor // H<sub>2</sub>O // an oxidized electron carrier,sulfurtransferase for molybdenum cofactor sulfuration,fdhD,<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation
beta-D-galactopyranose  <-->  alpha-D-galactopyranose,EC-5.1.3.3,&beta;-D-galactopyranose // &alpha;-D-galactopyranose,&alpha;-D-galactopyranose,galactose-1-epimerase,galM,D-galactose degradation I (Leloir pathway)
keto-D-fructose  ->  beta-D-fructofuranose,,<i>keto</i>-D-fructose // &beta;-D-fructofuranose,&beta;-D-fructofuranose,,,
histidinol + NAD+  <-->  histidinal + NADH + H+,,NAD<sup>+</sup> // histidinol // H<SUP>+</SUP> // histidinal // NADH,H<SUP>+</SUP> // histidinal // NADH,histidinal/histidinol dehydrogenase,hisD,L-histidine biosynthesis
"2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + H+ + H2O  ->  5-amino-6-(5-phospho-D-ribosylamino)uracil + ammonium",EC-3.5.4.26,"2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one // H<sub>2</sub>O // H<SUP>+</SUP> // 5-amino-6-(5-phospho-D-ribosylamino)uracil // ammonium",5-amino-6-(5-phospho-D-ribosylamino)uracil // ammonium,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,ribD,flavin biosynthesis I (bacteria and plants)
D-arabinitol + NAD+  <-->  D-xylulose + NADH + H+,EC-1.1.1.11,NAD<sup>+</sup> // D-arabinitol // D-xylulose // NADH // H<SUP>+</SUP>,D-xylulose // NADH // H<SUP>+</SUP>,,,D-arabinitol degradation I
"an aliphatic alpha,omega-diamine + acetyl-CoA  ->  an aliphatic N-acetyl-diamine + coenzyme A + H+",EC-2.3.1.57,"acetyl-CoA // an aliphatic &alpha;,&omega;-diamine // an aliphatic N-acetyl-diamine // coenzyme A // H<SUP>+</SUP>",an aliphatic N-acetyl-diamine // coenzyme A // H<SUP>+</SUP>,spermidine <i>N</i>-acetyltransferase,speG,
"ATP + 2,3-dihydroxybenzoate + H+  ->  (2,3-dihydroxybenzoyl)adenylate + diphosphate",,"2,3-dihydroxybenzoate // ATP // H<SUP>+</SUP> // diphosphate // (2,3-dihydroxybenzoyl)adenylate","diphosphate // (2,3-dihydroxybenzoyl)adenylate","2,3-dihydroxybenzoate-[aryl-carrier protein] ligase // holo-EntB dimer // phosphopantetheinyl transferase EntD // holo [EntF peptidyl-carrier protein] // 2,3-dihydroxybenzoate-[aryl-carrier protein] ligase",entE,enterobactin biosynthesis
cob(II)inamide + [corrinoid adenosyltransferase]  ->  [corrinoid adenosyltranferase]-cob(II)inamide,,a [corrinoid adenosyltransferase] // cob(II)inamide // [corrinoid adenosyltranferase]-cob(II)inamide,[corrinoid adenosyltranferase]-cob(II)inamide,cobinamide/cobalamin adenosyltransferase,btuR,adenosylcobinamide-GDP salvage from cobinamide I
L-xylulose + ATP  ->  L-xylulose 5-phosphate + ADP + H+,EC-2.7.1.53,ATP // L-xylulose // H<SUP>+</SUP> // L-xylulose 5-phosphate // ADP,H<SUP>+</SUP> // L-xylulose 5-phosphate // ADP,L-xylulose kinase,lyxK,L-lyxose degradation
2'-deoxyuridine 3'-monophosphate[periplasm] + H2O[periplasm]  ->  2'-deoxyuridine[periplasm] + phosphate[periplasm],EC-3.1.3.34,H<sub>2</sub>O // 2'-deoxyuridine 3'-monophosphate // 2'-deoxyuridine // phosphate,2'-deoxyuridine // phosphate,acid phosphatase / phosphotransferase,aphA,
D-altronate  ->  2-dehydro-3-deoxy-D-gluconate + H2O,EC-4.2.1.7,D-altronate // H<sub>2</sub>O // 2-dehydro-3-deoxy-D-gluconate,H<sub>2</sub>O // 2-dehydro-3-deoxy-D-gluconate,D-altronate dehydratase,uxaA,D-galacturonate degradation I
octanoyl-CoA + acetyl-CoA  <-->  3-oxodecanoyl-CoA + coenzyme A,EC-2.3.1.9 // EC-2.3.1.16,acetyl-CoA // octanoyl-CoA // 3-oxodecanoyl-CoA // coenzyme A,3-oxodecanoyl-CoA // coenzyme A,3-ketoacyl-CoA thiolase // 3-ketoacyl-CoA thiolase FadI,,oleate &beta;-oxidation
D-erythrose 4-phosphate + D-xylulose 5-phosphate  <-->  beta-D-fructofuranose 6-phosphate + D-glyceraldehyde 3-phosphate,EC-2.2.1.1,D-xylulose 5-phosphate // D-erythrose 4-phosphate // &beta;-D-fructofuranose 6-phosphate // D-glyceraldehyde 3-phosphate,&beta;-D-fructofuranose 6-phosphate // D-glyceraldehyde 3-phosphate,transketolase 1 // transketolase 2,tktB // tktA,pentose phosphate pathway (non-oxidative branch) I
a uridine38-40 in tRNA  ->  a pseudouridine38-40 in tRNA,EC-5.4.99.12,a uridine<sup>38-40</sup> in tRNA // a pseudouridine<sup>38-40</sup> in tRNA,a pseudouridine<sup>38-40</sup> in tRNA,tRNA pseudouridine<sup>38-40</sup> synthase,truA,
all-trans-octaprenyl diphosphate + 4-hydroxybenzoate  ->  4-hydroxy-3-(all-trans-octaprenyl)benzoate + diphosphate,EC-2.5.1.39,4-hydroxybenzoate // all-<i>trans</i>-octaprenyl diphosphate // diphosphate // 4-hydroxy-3-(<i>all-trans</i>-octaprenyl)benzoate,diphosphate // 4-hydroxy-3-(<i>all-trans</i>-octaprenyl)benzoate,4-hydroxybenzoate octaprenyltransferase,ubiA,ubiquinol-8 biosynthesis (anaerobic) // ubiquinol-8 biosynthesis (early decarboxylation)
"a [prolipoprotein]-S-1,2-diacyl-sn-glyceryl-L-cysteine + H2O  ->  an (S-diacyl-sn-glyceryl)-L-cysteinyl-[apolipoprotein] + a lipoprotein signal peptide",EC-3.4.23.36,"H<sub>2</sub>O // a [prolipoprotein]-<i>S</i>-1,2-diacyl-<i>sn</i>-glyceryl-L-cysteine // an (<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteinyl-[apolipoprotein] // a lipoprotein signal peptide",an (<i>S</i>-diacyl-<i>sn</i>-glyceryl)-L-cysteinyl-[apolipoprotein] // a lipoprotein signal peptide,lipoprotein signal peptidase,lspA,lipoprotein posttranslational modification (Gram-negative bacteria)
"L,L-diaminopimelate  <-->  meso-diaminopimelate",EC-5.1.1.7,"L,L-diaminopimelate // <i>meso</i>-diaminopimelate",<i>meso</i>-diaminopimelate,diaminopimelate epimerase,dapF,L-lysine biosynthesis I
L-glutamate + H+  ->  CO2 + 4-aminobutanoate,EC-4.1.1.15,L-glutamate // H<SUP>+</SUP> // CO<SUB>2</SUB> // 4-aminobutanoate,CO<SUB>2</SUB> // 4-aminobutanoate,glutamate decarboxylase B // glutamate decarboxylase A,gadA // gadB,L-glutamate degradation IX (via 4-aminobutanoate)
a cytosine967 in 16S rRNA + S-adenosyl-L-methionine  ->  a 5-methylcytosine967 in 16S rRNA + S-adenosyl-L-homocysteine + H+,EC-2.1.1.176,a cytosine<sup>967</sup> in 16S rRNA // <i>S</i>-adenosyl-L-methionine // a 5-methylcytosine<sup>967</sup> in 16S rRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,a 5-methylcytosine<sup>967</sup> in 16S rRNA // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,16S rRNA m<sup>5</sup>C967 methyltransferase,rsmB,
acetoacetate + acetyl-CoA  <-->  acetoacetyl-CoA + acetate,EC-2.8.3.9,acetyl-CoA // acetoacetate // acetoacetyl-CoA // acetate,acetoacetyl-CoA // acetate,acetate-CoA transferase YdiF // acetoacetyl-CoA transferase,atoA // atoD // ydiF,acetoacetate degradation (to acetyl CoA)
aldehydo-D-ribose  <-->  D-ribofuranose,,<i>aldehydo</i>-D-ribose // D-ribofuranose,D-ribofuranose,,,
cytidine 2'-monophosphate[periplasm] + H2O[periplasm]  ->  cytidine[periplasm] + phosphate[periplasm],EC-3.1.3,H<sub>2</sub>O // cytidine 2'-monophosphate // cytidine // phosphate,cytidine // phosphate,alkaline phosphatase,phoA,
"2-amino-4-oxo-3H,4H,7H-pyrrolo[2,3-d]pyrimidine-5-carboximidyl-adenylate  ->  AMP + preQ0 + H+",,"2-amino-4-oxo-3H,4H,7H-pyrrolo[2,3-d]pyrimidine-5-carboximidyl-adenylate // AMP // preQ<sub>0</sub> // H<SUP>+</SUP>",AMP // preQ<sub>0</sub> // H<SUP>+</SUP>,7-cyano-7-deazaguanine synthase,queC,
(Z)-3-ureidoacrylate peracid + NADH  ->  (Z)-3-ureidoacrylate + NAD+ + H2O,,NADH // (<i>Z</i>)-3-ureidoacrylate peracid // (<i>Z</i>)-3-ureidoacrylate // NAD<sup>+</sup> // H<sub>2</sub>O,(<i>Z</i>)-3-ureidoacrylate // NAD<sup>+</sup> // H<sub>2</sub>O,,,
"2-keto-L-gulonate + NADP+  <-  2,5-didehydro-D-gluconate + NADPH + H+",EC-1.1.1.346,"NADP<sup>+</sup> // 2-keto-L-gulonate // 2,5-didehydro-D-gluconate // NADPH // H<SUP>+</SUP>",2-keto-L-gulonate // NADP<sup>+</sup>,methylglyoxal reductase DkgA // methylglyoxal reductase DkgB,dkgB // dkgA,ketogluconate metabolism
"a 2,3,4-saturated fatty acyl CoA + acetyl-CoA  <-->  a 2,3,4-saturated 3-oxoacyl-CoA + coenzyme A",EC-2.3.1.16,"acetyl-CoA // a 2,3,4-saturated fatty acyl CoA // a 2,3,4-saturated 3-oxoacyl-CoA // coenzyme A","a 2,3,4-saturated 3-oxoacyl-CoA // coenzyme A",3-ketoacyl-CoA thiolase FadI // 3-ketoacyl-CoA thiolase,fadA // fadI,fatty acid &beta;-oxidation I (generic)
6-sulfo-beta-D-quinovose  ->  6-deoxy-6-sulfo-D-fructose,EC-5.3.1.31,6-sulfo-&beta;-D-quinovose // 6-deoxy-6-sulfo-D-fructose,6-deoxy-6-sulfo-D-fructose,sulfoquinovose isomerase,yihS,sulfoquinovose degradation I
prenol + NADP+  <-->  3-methylbut-2-enal + NADPH + H+,EC-1.1.1.2,NADP<sup>+</sup> // prenol // 3-methylbut-2-enal // NADPH // H<SUP>+</SUP>,3-methylbut-2-enal // NADPH // H<SUP>+</SUP>,"aldehyde reductase, NADPH-dependent",yahK,
1D-myo-inositol 1-monophosphate + H2O  ->  myo-inositol + phosphate,EC-3.1.3.25,1D-<i>myo</i>-inositol 1-monophosphate // H<sub>2</sub>O // phosphate // <I>myo</I>-inositol,phosphate // <I>myo</I>-inositol,Nus factor SuhB,suhB,
D-glucopyranuronate  <-->  aldehydo-D-glucuronate,,D-glucopyranuronate // <i>aldehydo</i>-D-glucuronate,<i>aldehydo</i>-D-glucuronate,,,&beta;-D-glucuronide and D-glucuronate degradation
D-glycero-beta-D-manno-heptose 1-phosphate + ATP + H+  ->  ADP-D-glycero-beta-D-manno-heptose + diphosphate,EC-2.7.7.70,ATP // D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1-phosphate // H<SUP>+</SUP> // ADP-D-glycero-&beta;-D-<i>manno</i>-heptose // diphosphate,ADP-D-glycero-&beta;-D-<i>manno</i>-heptose // diphosphate,fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,hldE,ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
tRNALeu + L-leucine + ATP  ->  L-leucyl-[tRNALeu] + AMP + diphosphate,EC-6.1.1.4,ATP // L-leucine // a tRNA<SUP>Leu</SUP> // an L-leucyl-[tRNA<SUP>Leu</SUP>] // diphosphate // AMP,an L-leucyl-[tRNA<SUP>Leu</SUP>] // diphosphate // AMP,leucine&mdash;tRNA ligase,leuS,tRNA charging
"a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol)  ->  a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-5-one) + H2O",,"a [protein]-L-lysine-<i>N</i>-2-(4,5-dihydro-4-methyl-1<i>H</i>-imidazol-4,5-diol) // a [protein]-L-lysine-<i>N</i>-2-(4,5-dihydro-4-methyl-1<i>H</i>-imidazol-5-one) // H<sub>2</sub>O","a [protein]-L-lysine-<i>N</i>-2-(4,5-dihydro-4-methyl-1<i>H</i>-imidazol-5-one) // H<sub>2</sub>O",,,
3-hydroxypropanal + H2O  ->  3-hydroxypropanal hydrate,,H<sub>2</sub>O // 3-hydroxypropanal // 3-hydroxypropanal hydrate,3-hydroxypropanal hydrate,,,
indole + L-serine  ->  L-tryptophan + H2O,EC-4.2.1.122,L-serine // indole // L-tryptophan // H<sub>2</sub>O,L-tryptophan // H<sub>2</sub>O,"tryptophan synthase, &beta; subunit dimer // tryptophan synthase subunit alpha // tryptophan synthase, beta subunit dimer",trpB,L-tryptophan biosynthesis
(S)-dihydroorotate + a quinone[inner membrane]  ->  orotate + a quinol[inner membrane],EC-1.3.5.2,(<i>S</i>)-dihydroorotate // an electron-transfer quinone // an electron-transfer quinol // orotate,an electron-transfer quinol // orotate,"dihydroorotate dehydrogenase, type 2",pyrD,UMP biosynthesis I
D-gluconate 6-phosphate  ->  2-dehydro-3-deoxy-D-gluconate 6-phosphate + H2O,EC-4.2.1.12,D-gluconate 6-phosphate // 2-dehydro-3-deoxy-D-gluconate 6-phosphate // H<sub>2</sub>O,2-dehydro-3-deoxy-D-gluconate 6-phosphate // H<sub>2</sub>O,phosphogluconate dehydratase,edd,Entner-Doudoroff shunt
adenosylcob(III)alamin-[corrinoid adenosyltranferase]  ->  [corrinoid adenosyltransferase] + adenosylcobalamin,,adenosylcob(III)alamin-[corrinoid adenosyltranferase] // adenosylcobalamin // a [corrinoid adenosyltransferase],adenosylcobalamin // a [corrinoid adenosyltransferase],,,adenosylcobalamin salvage from cobalamin
glucosyl-(heptosyl)2-Kdo2-lipid A + ATP  ->  glucosyl-(heptosyl)2-Kdo2-lipid A-phosphate + ADP + H+,EC-2.7.1.235,ATP // glucosyl-(heptosyl)<sub>2</sub>-Kdo<sub>2</sub>-lipid A // H<SUP>+</SUP> // glucosyl-(heptosyl)<sub>2</sub>-Kdo<sub>2</sub>-lipid A-phosphate // ADP,H<SUP>+</SUP> // glucosyl-(heptosyl)<sub>2</sub>-Kdo<sub>2</sub>-lipid A-phosphate // ADP,lipopolysaccharide core heptose (I) kinase,waaP,
O-acetyl-L-serine + thiosulfate  <-->  S-sulfo-L-cysteine + acetate + H+,EC-2.5.1.144,thiosulfate // <i>O</i>-acetyl-L-serine // H<SUP>+</SUP> // <i>S</i>-sulfo-L-cysteine // acetate,H<SUP>+</SUP> // <i>S</i>-sulfo-L-cysteine // acetate,cysteine synthase B,cysM,L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)
oxaloacetate + H+  ->  pyruvate + CO2,EC-4.1.1.112,oxaloacetate // H<SUP>+</SUP> // pyruvate // CO<SUB>2</SUB>,pyruvate // CO<SUB>2</SUB>,KHG/KDPG aldolase // D-malate/3-isopropylmalate dehydrogenase (decarboxylating) // malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>) // malate dehydrogenase (oxaloacetate-decarboxylating),eda,
holo [citrate lyase acyl-carrier protein] + acetate + ATP  ->  acetyl-holo [citrate lyase acyl-carrier protein] + AMP + diphosphate,EC-6.2.1.22,ATP // acetate // a <i>holo</i> [citrate lyase acyl-carrier protein] // an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein] // diphosphate // AMP,an acetyl-<i>holo</i> [citrate lyase acyl-carrier protein] // diphosphate // AMP,citrate lyase synthetase,citC,citrate lyase activation
dGDP + oxidized thioredoxin + H2O  <-  GDP + reduced thioredoxin,EC-1.17.4.1,H<sub>2</sub>O // an oxidized thioredoxin // dGDP // GDP // a reduced thioredoxin,dGDP // an oxidized thioredoxin // H<sub>2</sub>O,ribonucleoside-diphosphate reductase 1,nrdA // nrdB,guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
L-methionine + a 2-oxo carboxylate  <-->  4-(methylsulfanyl)-2-oxobutanoate + a proteinogenic amino acid,EC-2.6.1.88,a 2-oxo carboxylate // L-methionine // 4-(methylsulfanyl)-2-oxobutanoate // a proteinogenic amino acid,4-(methylsulfanyl)-2-oxobutanoate // a proteinogenic amino acid,methionine transaminase,ybdL,
GDP-alpha-D-mannose + H2O  ->  GMP + alpha-D-mannose 1-phosphate + 2 H+,EC-3.6.1,H<sub>2</sub>O // GDP-&alpha;-D-mannose // H<SUP>+</SUP> // GMP // &alpha;-D-mannose 1-phosphate,H<SUP>+</SUP> // GMP // &alpha;-D-mannose 1-phosphate,GDP-mannose hydrolase,nudK,
"a donor peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm] + an acceptor peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm]  ->  a peptidoglycan with L,D cross links (meso-diaminopimelate containing)[periplasm] + D-alanine[periplasm]",,"an acceptor peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<I>meso</I>-2,6-diaminopimeloyl-D-alanine) tetrapeptide // a donor peptidoglycan with (L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminopimeloyl-D-alanine) tetrapeptide // a peptidoglycan with L,D cross links (<i>meso</i>-diaminopimelate containing) // D-alanine","a peptidoglycan with L,D cross links (<i>meso</i>-diaminopimelate containing) // D-alanine","L,D-transpeptidase LdtD // L,D-transpeptidase LdtE",ldtE // ldtD,peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
2-aceto-2-hydroxy-butyrate synthase,EC-2.2.1.6,2-oxobutanoate // pyruvate // H<SUP>+</SUP> // (<i>S</i>)-2-aceto-2-hydroxybutanoate // CO<SUB>2</SUB>,(<i>S</i>)-2-aceto-2-hydroxybutanoate // CO<SUB>2</SUB>,"acetolactate synthase II subunit IlvG // acetolactate synthase II subunit IlvM // acetohydroxy acid synthase I subunit IlvB // acetohydroxy acid synthase I subunit IlvN // acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit // acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",ilvI // ilvH // ilvB // ilvN // ilvG // ilvM,L-isoleucine biosynthesis I (from threonine)
"alpha-D-ribose 1,5-bisphosphate + ATP  <-->  5-phospho-alpha-D-ribose 1-diphosphate + ADP",EC-2.7.4.23,"ATP // &alpha;-D-ribose 1,5-bisphosphate // 5-phospho-&alpha;-D-ribose 1-diphosphate // ADP",5-phospho-&alpha;-D-ribose 1-diphosphate // ADP,"ribose 1,5-bisphosphate phosphokinase",phnN,methylphosphonate degradation I // (aminomethyl)phosphonate degradation
S-methyl-5'-thioadenosine + H2O  ->  5-(methylsulfanyl)-D-ribose + adenine,EC-3.2.2.9 // EC-3.2.2.16,H<sub>2</sub>O // <i>S</i>-methyl-5'-thioadenosine // 5-(methylsulfanyl)-D-ribose // adenine,5-(methylsulfanyl)-D-ribose // adenine,5'-methylthioadenosine/<i>S</i>-adenosylhomocysteine nucleosidase,mtn,<i>S</i>-methyl-5'-thioadenosine degradation IV
tRNA-queuosine glutamyltransferase,EC-2.4.1,L-glutamate // ATP // queuosine<sup>34</sup> in tRNA<sup>Asp</sup> // glutamyl-queuosine<sup>34</sup> in tRNA<sup>Asp</sup> // AMP // diphosphate // H<SUP>+</SUP>,glutamyl-queuosine<sup>34</sup> in tRNA<sup>Asp</sup> // AMP // diphosphate // H<SUP>+</SUP>,glutamyl-Q tRNA<sup>Asp</sup> synthetase,gluQ,
D-gluconate + NAD(P)+  <-->  5-dehydro-D-gluconate + NAD(P)H + H+,EC-1.1.1.69,D-gluconate // NAD(P)<sup>+</sup> // NAD(P)H // 5-dehydro-D-gluconate // H<SUP>+</SUP>,NAD(P)H // 5-dehydro-D-gluconate // H<SUP>+</SUP>,5-keto-D-gluconate 5-reductase,idnO,L-idonate degradation
2-iminosuccinate + H+ + H2O  ->  oxaloacetate + ammonium,,H<sub>2</sub>O // 2-iminosuccinate // H<SUP>+</SUP> // oxaloacetate // ammonium,oxaloacetate // ammonium,,,
enol-oxaloacetate + H+  ->  pyruvate + CO2,,H<SUP>+</SUP> // enol-oxaloacetate // pyruvate // CO<SUB>2</SUB>,pyruvate // CO<SUB>2</SUB>,,,
